image_path,count,split
data\intake-count\images\train\count_0\count_0_0000.jpg,0,train
data\intake-count\images\train\count_0\count_0_0001.jpg,0,train
data\intake-count\images\train\count_0\count_0_0002.jpg,0,train
data\intake-count\images\train\count_0\count_0_0003.jpg,0,train
data\intake-count\images\train\count_0\count_0_0004.jpg,0,train
data\intake-count\images\train\count_0\count_0_0005.jpg,0,train
data\intake-count\images\val\count_0\count_0_0006.jpg,0,val
data\intake-count\images\val\count_0\count_0_0007.jpg,0,val
data\intake-count\images\train\count_1\count_1_0000.jpg,1,train
data\intake-count\images\train\count_1\count_1_0001.jpg,1,train
data\intake-count\images\train\count_1\count_1_0002.jpg,1,train
data\intake-count\images\train\count_1\count_1_0003.jpg,1,train
data\intake-count\images\train\count_1\count_1_0004.jpg,1,train
data\intake-count\images\train\count_1\count_1_0005.jpg,1,train
data\intake-count\images\val\count_1\count_1_0006.jpg,1,val
data\intake-count\images\val\count_1\count_1_0007.jpg,1,val
data\intake-count\images\train\count_2\count_2_0000.jpg,2,train
data\intake-count\images\train\count_2\count_2_0001.jpg,2,train
data\intake-count\images\train\count_2\count_2_0002.jpg,2,train
data\intake-count\images\train\count_2\count_2_0003.jpg,2,train
data\intake-count\images\train\count_2\count_2_0004.jpg,2,train
data\intake-count\images\train\count_2\count_2_0005.jpg,2,train
data\intake-count\images\val\count_2\count_2_0006.jpg,2,val
data\intake-count\images\val\count_2\count_2_0007.jpg,2,val
data\intake-count\images\train\count_3\count_3_0000.jpg,3,train
data\intake-count\images\train\count_3\count_3_0001.jpg,3,train
data\intake-count\images\train\count_3\count_3_0002.jpg,3,train
data\intake-count\images\train\count_3\count_3_0003.jpg,3,train
data\intake-count\images\train\count_3\count_3_0004.jpg,3,train
data\intake-count\images\train\count_3\count_3_0005.jpg,3,train
data\intake-count\images\val\count_3\count_3_0006.jpg,3,val
data\intake-count\images\val\count_3\count_3_0007.jpg,3,val
