label,source,domain,count
anger,goemotions,general_english_social_media,375
anger,project_authored,eldermeds_conversation,20
anger,project_authored_hard_negative,eldermeds_conversation,5
anxiety,goemotions,general_english_social_media,367
anxiety,project_authored,eldermeds_conversation,7
anxiety,project_authored_hard_negative,eldermeds_conversation,10
cognitive_fog,goemotions,general_english_social_media,240
cognitive_fog,project_authored,eldermeds_conversation,19
cognitive_fog,project_authored_hard_negative,eldermeds_conversation,5
happiness,goemotions,general_english_social_media,494
happiness,project_authored,eldermeds_conversation,6
loneliness,domain_relabel,general_english_social_media,37
loneliness,project_authored,eldermeds_conversation,30
loneliness,project_authored_hard_negative,eldermeds_conversation,5
neutral,goemotions,general_english_social_media,470
neutral,project_authored,eldermeds_conversation,20
neutral,project_authored_hard_negative,eldermeds_conversation,10
sadness,goemotions,general_english_social_media,479
sadness,project_authored,eldermeds_conversation,16
sadness,project_authored_hard_negative,eldermeds_conversation,5
