image_path,medicine_name,generic_name,rxstring,rxcui,product_code,ndc9,size,shape,score,imprint,color,strength,ingredients,dosage_form,author,image_source,source_image,identity_label,split
data\public\pillbox\images\498840129.jpg,Dexamethasone 6 MG Oral Tablet,Dexamethasone,Dexamethasone 6 MG Oral Tablet,197583,49884-129,498840129,7,PENTAGON (5 SIDED),1,par;129,GREEN,DEXAMETHASONE 6 mg,DEXAMETHASONE[DEXAMETHASONE],C42998,Par Pharmaceutical Inc.,NLM,498840129.jpg,49884-129,train
data\public\pillbox\images\005551883.jpg,benzonatate 200 MG Oral Capsule,Benzonatate,benzonatate 200 MG Oral Capsule,283417,0555-1883,005551883,12,CAPSULE,1,PA83,YELLOW,BENZONATATE 200 mg,BENZONATATE[BENZONATATE],C25158,Barr Laboratories Inc.,NLM,005551883.jpg,0555-1883,train
data\public\pillbox\images\625840975.jpg,24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule,Diltiazem Hydrochloride,24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule,830845,62584-975,625840975,22,CAPSULE,1,R;2577,BLUE,DILTIAZEM HYDROCHLORIDE 180 mg,DILTIAZEM HYDROCHLORIDE[DILTIAZEM],C42916,American Health Packaging,NLM,625840975.jpg,62584-975,train
data\public\pillbox\images\00228-2855-11_NLMIMAGE10_0B4085F4.jpg,24 HR guanfacine 4 MG Extended Release Oral Tablet,guanfacine,24 HR guanfacine 4 MG Extended Release Oral Tablet,862025,0228-2855,002282855,12,OVAL,1,855,YELLOW,GUANFACINE HYDROCHLORIDE 4 mg,GUANFACINE HYDROCHLORIDE[GUANFACINE],C42927,"Actavis Pharma, Inc.",NLM,00228-2855-11_NLMIMAGE10_0B4085F4.jpg,0228-2855,train
data\public\pillbox\images\637390375.jpg,gabapentin 300 MG Oral Capsule,Gabapentin,gabapentin 300 MG Oral Capsule,310431,63739-375,637390375,19,CAPSULE,1,R2666,YELLOW;BROWN,GABAPENTIN 300 mg,GABAPENTIN[GABAPENTIN],C25158,McKesson Packaging Services a business unit of McKesson Corporation,NLM,637390375.jpg,63739-375,train
data\public\pillbox\images\634810025.jpg,frovatriptan 2.5 MG Oral Tablet [Frova],FROVA,frovatriptan 2.5 MG Oral Tablet [Frova],352058,63481-025,634810025,8,ROUND,1,E;2;5,WHITE,FROVATRIPTAN SUCCINATE 2.5 mg,FROVATRIPTAN SUCCINATE[FROVATRIPTAN],C42931,"Endo Pharmaceuticals, Inc.",NLM,634810025.jpg,63481-025,train
data\public\pillbox\images\42794-0019-02_NLMIMAGE10_BC40DE26.jpg,liothyronine sodium 0.025 MG Oral Tablet,Liothyronine Sodium,liothyronine sodium 0.025 MG Oral Tablet,903697,42794-019,427940019,7,ROUND,2,19,WHITE,LIOTHYRONINE SODIUM 25 ug,LIOTHYRONINE SODIUM[LIOTHYRONINE],C42998,"SIGMAPHARM LABORATORIES, LLC",NLM,42794-0019-02_NLMIMAGE10_BC40DE26.jpg,42794-019,train
data\public\pillbox\images\50844-0249-33_NLMIMAGE10_C235E11F.jpg,aspirin 325 MG Oral Tablet,Aspirin,aspirin 325 MG Oral Tablet,212033,50844-249,508440249,10,ROUND,1,ASPIRIN;44;249,WHITE,ASPIRIN 325 mg,ASPIRIN[ASPIRIN],C42998,"L.N.K. International, Inc.",NLM,50844-0249-33_NLMIMAGE10_C235E11F.jpg,50844-249,val
data\public\pillbox\images\534890678.jpg,Fenofibric Acid Fenofibric Acid 105 mg,Fenofibric Acid,,,53489-678,534890678,19,OVAL,1,AR;788,WHITE,Fenofibric Acid 105 mg,Fenofibric Acid[Fenofibric Acid],C42998,"Mutual Pharmaceutical Company, Inc.",NLM,534890678.jpg,53489-678,train
data\public\pillbox\images\00093101601.jpg,nabumetone 750 MG Oral Tablet,Nabumetone,nabumetone 750 MG Oral Tablet,311893,0093-1016,000931016,20,OVAL,1,93;16,BROWN,NABUMETONE 750 mg,NABUMETONE[NABUMETONE],C42931,"Teva Pharmaceuticals USA, Inc.",SPL,00093101601.jpg,0093-1016,train
