0 verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
1 info using npm@10.8.2
2 info using node@v20.19.5
3 silly config load:file:C:\Program Files\nodejs\node_modules\npm\npmrc
4 silly config load:file:F:\Research\Research-ElderMeds\ElderMeds\frontend\.npmrc
5 silly config load:file:C:\Users\HP\.npmrc
6 silly config load:file:C:\Users\HP\AppData\Roaming\npm\etc\npmrc
7 verbose title npm ci
8 verbose argv "ci" "--legacy-peer-deps" "--cache" ".\\.npm-cache" "--no-audit"
9 verbose logfile logs-max:10 dir:F:\Research\Research-ElderMeds\ElderMeds\frontend\.npm-cache\_logs\2026-07-02T04_44_12_888Z-
10 verbose logfile F:\Research\Research-ElderMeds\ElderMeds\frontend\.npm-cache\_logs\2026-07-02T04_44_12_888Z-debug-0.log
11 silly packumentCache heap:2197815296 maxSize:549453824 maxEntrySize:274726912
12 silly logfile done cleaning log files
13 silly idealTree buildDeps
14 silly reify moves {}
15 verbose reify failed optional dependency F:\Research\Research-ElderMeds\ElderMeds\frontend\node_modules\fsevents
16 silly reify mark deleted [
16 silly reify   'F:\\Research\\Research-ElderMeds\\ElderMeds\\frontend\\node_modules\\fsevents'
16 silly reify ]
17 silly packumentCache corgi:https://registry.npmjs.org/yocto-queue cache-miss
18 silly packumentCache corgi:https://registry.npmjs.org/yargs cache-miss
19 silly packumentCache corgi:https://registry.npmjs.org/yargs-parser cache-miss
20 silly packumentCache corgi:https://registry.npmjs.org/y18n cache-miss
21 silly packumentCache corgi:https://registry.npmjs.org/xmlbuilder cache-miss
22 silly packumentCache corgi:https://registry.npmjs.org/xcode cache-miss
23 silly packumentCache corgi:https://registry.npmjs.org/ws cache-miss
24 silly packumentCache corgi:https://registry.npmjs.org/xml2js cache-miss
25 silly packumentCache corgi:https://registry.npmjs.org/wrappy cache-miss
26 silly packumentCache corgi:https://registry.npmjs.org/wonka cache-miss
27 silly packumentCache corgi:https://registry.npmjs.org/wrap-ansi cache-miss
28 silly packumentCache corgi:https://registry.npmjs.org/write-file-atomic cache-miss
29 silly packumentCache corgi:https://registry.npmjs.org/which-typed-array cache-miss
30 silly packumentCache corgi:https://registry.npmjs.org/which-builtin-type cache-miss
31 silly packumentCache corgi:https://registry.npmjs.org/which-boxed-primitive cache-miss
32 silly packumentCache corgi:https://registry.npmjs.org/which cache-miss
33 silly packumentCache corgi:https://registry.npmjs.org/whatwg-url cache-miss
34 silly packumentCache corgi:https://registry.npmjs.org/yallist cache-miss
35 silly packumentCache corgi:https://registry.npmjs.org/which-collection cache-miss
36 silly packumentCache corgi:https://registry.npmjs.org/whatwg-url-without-unicode cache-miss
37 silly packumentCache corgi:https://registry.npmjs.org/whatwg-fetch cache-miss
38 silly packumentCache corgi:https://registry.npmjs.org/walker cache-miss
39 silly packumentCache corgi:https://registry.npmjs.org/warn-once cache-miss
40 silly packumentCache corgi:https://registry.npmjs.org/wcwidth cache-miss
41 silly packumentCache corgi:https://registry.npmjs.org/webidl-conversions cache-miss
42 silly packumentCache corgi:https://registry.npmjs.org/validate-npm-package-name cache-miss
43 silly packumentCache corgi:https://registry.npmjs.org/valid-url cache-miss
44 silly packumentCache corgi:https://registry.npmjs.org/v8-to-istanbul cache-miss
45 silly packumentCache corgi:https://registry.npmjs.org/utils-merge cache-miss
46 silly packumentCache corgi:https://registry.npmjs.org/uuid cache-miss
47 silly packumentCache corgi:https://registry.npmjs.org/use-latest-callback cache-miss
48 silly packumentCache corgi:https://registry.npmjs.org/url-join cache-miss
49 silly packumentCache corgi:https://registry.npmjs.org/update-browserslist-db cache-miss
50 silly packumentCache corgi:https://registry.npmjs.org/unpipe cache-miss
51 silly packumentCache corgi:https://registry.npmjs.org/unique-string cache-miss
