text,label,source,review_status
cursed image,anger,goemotions,flagged_extremely_short_ambiguous_review
dammit,anger,goemotions,flagged_extremely_short_ambiguous_review
fuck off,anger,goemotions,flagged_extremely_short_ambiguous_review
fucking seriously,anger,goemotions,flagged_extremely_short_ambiguous_review
edgy bro,anxiety,goemotions,flagged_extremely_short_ambiguous_review
its embarrassing,anxiety,goemotions,flagged_extremely_short_ambiguous_review
i’m scared,anxiety,goemotions,flagged_extremely_short_ambiguous_review
o shame,anxiety,goemotions,flagged_extremely_short_ambiguous_review
omg creepy,anxiety,goemotions,flagged_extremely_short_ambiguous_review
omg terrifying,anxiety,goemotions,flagged_extremely_short_ambiguous_review
thats horrifying,anxiety,goemotions,flagged_extremely_short_ambiguous_review
that’s scary,anxiety,goemotions,flagged_extremely_short_ambiguous_review
very scary,anxiety,goemotions,flagged_extremely_short_ambiguous_review
but where,cognitive_fog,goemotions,flagged_extremely_short_ambiguous_review
excellent analysis,happiness,goemotions,flagged_extremely_short_ambiguous_review
good job,happiness,goemotions,flagged_extremely_short_ambiguous_review
many thanks,happiness,goemotions,flagged_extremely_short_ambiguous_review
thanks again,happiness,goemotions,flagged_extremely_short_ambiguous_review
thanks bot,happiness,goemotions,flagged_extremely_short_ambiguous_review
thanks bud,happiness,goemotions,flagged_extremely_short_ambiguous_review
thanks dude,happiness,goemotions,flagged_extremely_short_ambiguous_review
thats amazing,happiness,goemotions,flagged_extremely_short_ambiguous_review
yes boys,happiness,goemotions,flagged_extremely_short_ambiguous_review
an innie,neutral,goemotions,flagged_extremely_short_ambiguous_review
bye dude,neutral,goemotions,flagged_extremely_short_ambiguous_review
come back,neutral,goemotions,flagged_extremely_short_ambiguous_review
cuteee,neutral,goemotions,flagged_extremely_short_ambiguous_review
go you,neutral,goemotions,flagged_extremely_short_ambiguous_review
good morning,neutral,goemotions,flagged_extremely_short_ambiguous_review
honey mustard,neutral,goemotions,flagged_extremely_short_ambiguous_review
its fishphobic,neutral,goemotions,flagged_extremely_short_ambiguous_review
kamala 2020,neutral,goemotions,flagged_extremely_short_ambiguous_review
lincoln osiris,neutral,goemotions,flagged_extremely_short_ambiguous_review
name was,neutral,goemotions,flagged_extremely_short_ambiguous_review
nice find,neutral,goemotions,flagged_extremely_short_ambiguous_review
omg,neutral,goemotions,flagged_extremely_short_ambiguous_review
she did,neutral,goemotions,flagged_extremely_short_ambiguous_review
soylent green,neutral,goemotions,flagged_extremely_short_ambiguous_review
would of,neutral,goemotions,flagged_extremely_short_ambiguous_review
i’m sorry,sadness,goemotions,flagged_extremely_short_ambiguous_review
not happy,sadness,goemotions,flagged_extremely_short_ambiguous_review
please sorry,sadness,goemotions,flagged_extremely_short_ambiguous_review
sad rip,sadness,goemotions,flagged_extremely_short_ambiguous_review
truly wretched,sadness,goemotions,flagged_extremely_short_ambiguous_review
