label,source,count,stage
anger,goemotions,300,before
anger,project_authored,10,before
anxiety,goemotions,283,before
anxiety,project_authored,10,before
cognitive_fog,goemotions,300,before
cognitive_fog,project_authored,5,before
happiness,goemotions,300,before
happiness,project_authored,10,before
loneliness,domain_relabel,48,before
loneliness,project_authored,10,before
neutral,goemotions,300,before
neutral,project_authored,10,before
sadness,goemotions,300,before
sadness,project_authored,18,before
anger,goemotions,300,after
anger,project_authored,22,after
anxiety,goemotions,283,after
anxiety,project_authored,10,after
cognitive_fog,goemotions,300,after
cognitive_fog,project_authored,20,after
happiness,goemotions,300,after
happiness,project_authored,10,after
loneliness,domain_relabel,48,after
loneliness,project_authored,30,after
neutral,goemotions,300,after
neutral,project_authored,22,after
sadness,goemotions,300,after
sadness,project_authored,18,after
