text,original_label,reviewer_1_label,reviewer_2_label,agreement
i felt cheerful after chatting with the pharmacist,happiness,,,
the sunshine made my morning feel pleasant,happiness,,,
i enjoyed preparing lunch and felt quite content,happiness,,,
hearing my favorite song put me in a good mood,happiness,,,
i am pleased that i managed everything on my list,happiness,,,
my neighbor visited and we had a lovely laugh,happiness,,,
i feel hopeful about the coming week,happiness,,,
that phone call left me smiling,happiness,,,
i have felt miserable since i woke up,sadness,,,
the memory made me tearful again today,sadness,,,
i feel low even though my daughter is sitting with me,sadness,,,
nothing seems enjoyable while i feel this down,sadness,,,
i am disappointed and my heart feels heavy,sadness,,,
the bad news has left me deeply unhappy,sadness,,,
i could not stop crying this afternoon,sadness,,,
i feel gloomy despite having people around me,sadness,,,
i wish there were someone here to share tea with,loneliness,,,
the house feels empty when nobody comes to visit,loneliness,,,
i have gone all day without a real conversation,loneliness,,,
i miss having another person nearby in the evenings,loneliness,,,
everyone seems busy and i feel left on my own,loneliness,,,
i keep hoping someone will telephone me,loneliness,,,
eating alone every day makes me miss companionship,loneliness,,,
i would like a friend to sit and talk with me,loneliness,,,
i am uneasy about what the doctor may say,anxiety,,,
i keep worrying and cannot settle down,anxiety,,,
my thoughts are clear but i feel nervous about tomorrow,anxiety,,,
i am tense because something may go wrong,anxiety,,,
the uncertainty has kept me restless all morning,anxiety,,,
i cannot relax while i wait for the results,anxiety,,,
i feel worried whenever i think about the journey,anxiety,,,
there is a nervous feeling i cannot shake,anxiety,,,
i am annoyed that the same issue happened again,anger,,,
being ignored like that made me angry,anger,,,
this delay is frustrating and i am losing patience,anger,,,
i feel irritated but not worried about the problem,anger,,,
i am fed up with having to ask repeatedly,anger,,,
their rude response made me cross,anger,,,
i am furious that they moved my things without asking,anger,,,
the constant interruptions are getting on my nerves,anger,,,
i lose track of the steps while doing a familiar chore,cognitive_fog,,,
my mind feels cloudy and i cannot arrange my thoughts,cognitive_fog,,,
i forget what i am doing halfway through the task,cognitive_fog,,,
following this conversation is unusually difficult today,cognitive_fog,,,
i read the instructions but cannot hold their meaning in mind,cognitive_fog,,,
i keep losing my place and cannot concentrate,cognitive_fog,,,
my thoughts feel disorganized even though i am calm,cognitive_fog,,,
i started making breakfast and forgot which step came next,cognitive_fog,,,
i took my tablets and then made breakfast,neutral,,,
the morning followed my usual schedule,neutral,,,
i misplaced one spoon but found it in the drawer,neutral,,,
i answered the door and then returned to my book,neutral,,,
nothing unusual has happened today,neutral,,,
i watched television until it was time for lunch,neutral,,,
the nurse is expected at three oclock,neutral,,,
i completed my ordinary household tasks,neutral,,,
