text,expected_emotion,predicted_emotion,confidence,observed_pattern
I cannot keep track of the steps while preparing breakfast.,cognitive_fog,cognitive_fog,0.5834654660739266,correct
The words blur together when I try to follow a page.,cognitive_fog,neutral,0.4036621751613521,misclassified_as_neutral
I began a chore and then forgot what I was trying to finish.,cognitive_fog,cognitive_fog,0.4321004827257718,correct
My thinking feels cloudy and slow this afternoon.,cognitive_fog,anxiety,0.25969119239436916,misclassified_as_anxiety
I lose the thread halfway through a conversation.,cognitive_fog,happiness,0.478856077657069,other_or_ambiguous
It is unusually hard to focus on one thing today.,cognitive_fog,neutral,0.4119105112533406,misclassified_as_neutral
I cannot organize my thoughts well enough to make a simple plan.,cognitive_fog,cognitive_fog,0.5338814857214238,correct
I repeatedly forget the next step of familiar activities.,cognitive_fog,cognitive_fog,0.44581724237984954,correct
Following the plot of this program takes too much concentration today.,cognitive_fog,sadness,0.25638812871648886,other_or_ambiguous
My mind feels unclear despite being rested.,cognitive_fog,neutral,0.28272116179549667,misclassified_as_neutral
