normalized_name,drug_name,ingredient_name,atc_code,atc_group_code,atc_group_name,atc_class_label,drug_class
13c-urea,13C-urea,13C-urea,V04CX05,V04CX,Other diagnostic agents,Other diagnostic agents,unknown
2- 4-chlorphenoxy -ethanol,2-(4-chlorphenoxy)-ethanol,2-(4-chlorphenoxy)-ethanol,D01AE06,D01AE,Other antifungals for topical use,Other antifungals for topical use,unknown
2-benzhydryloxyethyl diethyl-methylammonium iodide,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,A03AB16,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds","Synthetic anticholinergics, quaternary ammonium compounds",unknown
4-aminosalicylic acid,4-aminosalicylic acid,4-aminosalicylic acid,J04AA01,J04AA,Aminosalicylic acid and derivatives,Aminosalicylic acid and derivatives,unknown
4-dimethylaminophenol,4-dimethylaminophenol,4-dimethylaminophenol,V03AB27,V03AB,Antidotes,Antidotes,unknown
abacavir,abacavir,abacavir,J05AF06,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Nucleoside and nucleotide reverse transcriptase inhibitors,unknown
abaloparatide,abaloparatide,abaloparatide,H05AA04,H05AA,Parathyroid hormones and analogues,Parathyroid hormones and analogues,unknown
abarelix,abarelix,abarelix,L02BX01,L02BX,Other hormone antagonists and related agents,Other hormone antagonists and related agents,unknown
abatacept,abatacept,abatacept,L04AA24,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
abciximab,abciximab,abciximab,B01AC13,B01AC,Platelet aggregation inhibitors excl. heparin,Platelet aggregation inhibitors excl. heparin,antiplatelet
abemaciclib,abemaciclib,abemaciclib,L01EF03,L01EF,Cyclin-dependent kinase (CDK) inhibitors,Cyclin-dependent kinase (CDK) inhibitors,unknown
abetimus,abetimus,abetimus,L04AA22,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
abicipar pegol,abicipar pegol,abicipar pegol,S01LA07,S01LA,Antineovascularisation agents,Antineovascularisation agents,unknown
abiraterone,abiraterone,abiraterone,L02BX03,L02BX,Other hormone antagonists and related agents,Other hormone antagonists and related agents,unknown
absorbable gelatin sponge,absorbable gelatin sponge,absorbable gelatin sponge,B02BC01,B02BC,Local hemostatics,Local hemostatics,unknown
acadesine,acadesine,acadesine,C01EB13,C01EB,Other cardiac preparations,Other cardiac preparations,unknown
acalabrutinib,acalabrutinib,acalabrutinib,L01EL02,L01EL,Bruton's tyrosine kinase (BTK) inhibitors,Bruton's tyrosine kinase (BTK) inhibitors,unknown
acamprosate,acamprosate,acamprosate,N07BB03,N07BB,Drugs used in alcohol dependence,Drugs used in alcohol dependence,unknown
acarbose,acarbose,acarbose,A10BF01,A10BF,Alpha glucosidase inhibitors,Alpha glucosidase inhibitors,unknown
acebutolol,acebutolol,acebutolol,C07AB04,C07AB,"Beta blocking agents, selective","Beta blocking agents, selective",beta_blocker
aceclidine,aceclidine,aceclidine,S01EB08,S01EB,Parasympathomimetics,Parasympathomimetics,unknown
aceclofenac,aceclofenac,aceclofenac,M01AB16,M01AB,Acetic acid derivatives and related substances,Acetic acid derivatives and related substances,nsaid
acefylline piperazine,acefylline piperazine,acefylline piperazine,R03DA09,R03DA,Xanthines,Xanthines,unknown
acemetacin,acemetacin,acemetacin,M01AB11,M01AB,Acetic acid derivatives and related substances,Acetic acid derivatives and related substances,nsaid
aceneuramic acid,aceneuramic acid,aceneuramic acid,M09AX05,M09AX,Other drugs for disorders of the musculo-skeletal system,Other drugs for disorders of the musculo-skeletal system,unknown
acenocoumarol,acenocoumarol,acenocoumarol,B01AA07,B01AA,Vitamin K antagonists,Vitamin K antagonists,anticoagulant
acepromazine,acepromazine,acepromazine,N05AA04,N05AA,Phenothiazines with aliphatic side-chain,Phenothiazines with aliphatic side-chain,unknown
acetarsol,acetarsol,acetarsol,A07AX02,A07AX,Other intestinal antiinfectives,Other intestinal antiinfectives,unknown
acetazolamide,acetazolamide,acetazolamide,S01EC01,S01EC,Carbonic anhydrase inhibitors,Carbonic anhydrase inhibitors,unknown
acetic acid,acetic acid,acetic acid,G01AD02,G01AD,Organic acids,Organic acids,unknown
acetohexamide,acetohexamide,acetohexamide,A10BB31,A10BB,Sulfonylureas,Sulfonylureas,sulfonylurea
acetohydroxamic acid,acetohydroxamic acid,acetohydroxamic acid,G04BX03,G04BX,Other urologicals,Other urologicals,unknown
acetophenazine,acetophenazine,acetophenazine,N05AB07,N05AB,Phenothiazines with piperazine structure,Phenothiazines with piperazine structure,unknown
acetoxolone,acetoxolone,acetoxolone,A02BX09,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),unknown
acetrizoic acid,acetrizoic acid,acetrizoic acid,V08AA07,V08AA,"Watersoluble, nephrotropic, high osmolar X-ray contrast media","Watersoluble, nephrotropic, high osmolar X-ray contrast media",unknown
acetylcarnitine,acetylcarnitine,acetylcarnitine,N06BX12,N06BX,Other psychostimulants and nootropics,Other psychostimulants and nootropics,unknown
acetylcholine,acetylcholine,acetylcholine,S01EB09,S01EB,Parasympathomimetics,Parasympathomimetics,unknown
acetylcysteine,acetylcysteine,acetylcysteine,R05CB01,R05CB,Mucolytics,Mucolytics,unknown
acetyldigitoxin,acetyldigitoxin,acetyldigitoxin,C01AA01,C01AA,Digitalis glycosides,Digitalis glycosides,unknown
