image_path,count,split
data\public\pills-detection-dataset\images\train\Negatives_48082006091_e63f78c883_c.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_5007006918_428a67654b_c.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0001.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0002.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0003.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0004.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0005.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0007.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0008.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0009.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0010.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0011.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0012.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0013.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0015.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0016.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0017.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0018.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0019.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0020.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0021.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0023.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0024.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0025.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0026.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0027.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0028.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0029.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0031.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0032.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0033.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0034.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0035.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0036.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0037.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0039.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0040.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0041.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0042.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0043.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0044.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0045.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0047.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0048.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0049.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0050.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0051.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0052.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0053.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0055.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0056.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0057.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0058.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0059.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0060.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0061.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0063.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0064.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0065.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0066.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0067.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0068.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0069.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0071.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0072.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0073.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0074.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0075.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0076.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0077.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0079.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0080.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0081.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0082.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0083.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0084.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0085.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0087.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0088.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0089.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0090.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0091.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0092.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0093.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0095.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0096.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0097.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0098.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0099.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0100.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0101.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0103.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0104.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0105.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0106.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0107.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0108.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0109.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0111.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0112.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0113.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0114.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0115.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0116.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0117.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0119.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0120.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0121.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0122.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0123.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0124.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0125.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0127.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0128.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0129.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0130.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0131.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0132.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0133.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0135.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0136.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0137.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0138.jpg,0,train
data\public\pills-detection-dataset\images\train\Negatives_I0139.jpg,0,train
