image_path,medicine_name,split
data\public\ePillID_data\classification_data\segmented_nih_pills_224\65862-134_0_1.jpg,67c55bba94481d70b18ded91cdbabd7c2888705dc407a4f7c701a100,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\492.jpg,00555-9032-70_5F2FAFCD,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\64725-2057_0_0.jpg,fed90fe99f86ac4f5348cee916b8e1fbe7fa81210ad7e50f1d79a785,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0615-1359_0_1.jpg,8488eb8bed074d0c693dcdbd3abbf6010babc77f3fa35a235a74902d,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\65862-620_0_1.jpg,fca6d4ca5f77e39470049e7834689ad10454ebff40fc7a0db8dbdff2,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\68012-495_0_0.jpg,732cc3b122cf03e0b1a8128072b7865a2cbf66dd25984bbecbd30ddc,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\53217-001_0_1.jpg,66f397555916fae37161c171a5c8d9713b4fea94d8e52e754e92c4af,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2949.jpg,00037-2250-10_BD1D5EFA,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00093-0782-56_PART_1_OF_1_CHAL10_SB_392B1C88.jpg,00093-0782-56_392B1C88,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\16252-0591-99_PART_1_OF_1_CHAL10_SF_F31D79FB.jpg,16252-0591-99_F31D79FB,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\50268-716_0_1.jpg,732584ab42329d40815a904801e8e0fa4155cb403077b3ad75d08832,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\53808-0722_0_0.jpg,a47443158bbeaaec229022c62fde15ff689b0137feb6778a14ca671e,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4647.jpg,00093-5851-01_812BC09E,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\0378-8629_0_1.jpg,38c71edcc64971ff2ba7f62123015fcbaff6fb9fc218133309914ee0,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\61919-238_0_1.jpg,6e7ad16896115acb4fd3709623cb8ee9b3e1acac89d7e34f4f6133c2,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\53746-110_0_1.jpg,75225abb4100f2f39dcfed0856ed67b6a577bf2cca9f40bfd628abb1,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dr_224\00093-1026-06_PART_1_OF_1_CHAL10_SB_8129C0EE.jpg,00093-1026-06_8129C0EE,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\52959-965_0_1.jpg,7ff7ed9b36f37fc50f6a760da95b309e14d05b65a423c12635933756,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\4039.jpg,00555-9032-70_562FAB1D,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\1798.jpg,00555-9032-70_5B2FAD8D,train
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\2978.jpg,00093-7256-01_EA267553,val
data\public\ePillID_data\classification_data\fcn_mix_weight\dc_224\648.jpg,00093-7485-20_C73063F3,train
data\public\ePillID_data\classification_data\segmented_nih_pills_224\68084-070_0_0.jpg,b40f5009787731b2e7745d335da2db7673b2fd59f373306d8cd04ca0,val
data\public\ePillID_data\classification_data\segmented_nih_pills_224\50090-0800_0_0.jpg,526183ea3a585c16ccfc0ba677032e1ecad1a7ba77870604da819113,train
